Date/Time,Year,Month,Day,Time,Data Quality,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx Flag,Wind Chill Flag,Weather
2016-05-01 01:00,2016,5,1,01:00,‡,10.1,,7.0,,81.0,,35.0,,5.0,,24.1,,102.49,,,,Clear
2016-05-01 04:00,2016,5,1,04:00,‡,8.5,,6.0,,84.0,,2.0,,7.0,,32.2,,102.41,,,,Clear
2016-05-01 07:00,2016,5,1,07:00,‡,13.4,,11.1,,86.0,,36.0,,2.0,,48.3,,102.34,,,,Mainly Clear
2016-05-01 10:00,2016,5,1,10:00,‡,15.8,,10.8,,72.0,,29.0,,13.0,,48.3,,102.14,,,,Mainly Clear
2016-05-01 13:00,2016,5,1,13:00,‡,17.7,,9.2,,57.0,,28.0,,16.0,,48.3,,101.86,,,,Mainly Clear
2016-05-01 16:00,2016,5,1,16:00,‡,19.1,,12.5,,65.0,,29.0,,13.0,,48.3,,101.58,,,,Clear
2016-05-01 19:00,2016,5,1,19:00,‡,16.6,,11.4,,71.0,,29.0,,10.0,,48.3,,101.34,,,,Clear
2016-05-01 22:00,2016,5,1,22:00,‡,14.0,,12.7,,92.0,,12.0,,4.0,,32.2,,101.36,,,,Clear
2016-05-02 01:00,2016,5,2,01:00,‡,11.3,,8.9,,85.0,,2.0,,5.0,,32.2,,101.41,,,,Clear
2016-05-02 04:00,2016,5,2,04:00,‡,11.1,,5.2,,67.0,,9.0,,7.0,,48.3,,101.43,,,,Clear
2016-05-02 07:00,2016,5,2,07:00,‡,14.5,,8.7,,68.0,,22.0,,7.0,,48.3,,101.51,,,,Clear
2016-05-02 10:00,2016,5,2,10:00,‡,19.6,,9.9,,53.0,,28.0,,11.0,,48.3,,101.48,,,,Clear
2016-05-02 13:00,2016,5,2,13:00,‡,22.7,,12.5,,52.0,,27.0,,11.0,,48.3,,101.34,,,,Mainly Clear
2016-05-02 16:00,2016,5,2,16:00,‡,24.4,,14.7,,54.0,,30.0,,9.0,,48.3,,101.16,,,,Mostly Cloudy
2016-05-02 19:00,2016,5,2,19:00,‡,18.8,,12.2,,65.0,,31.0,,10.0,,48.3,,101.11,,,,Mainly Clear
2016-05-02 22:00,2016,5,2,22:00,‡,20.1,,8.6,,47.0,,4.0,,10.0,,48.3,,101.27,,,,Mostly Cloudy
2016-05-03 01:00,2016,5,3,01:00,‡,15.4,,11.0,,75.0,,16.0,,8.0,,32.2,,101.31,,,,Mainly Clear
2016-05-03 04:00,2016,5,3,04:00,‡,16.2,,11.2,,72.0,,36.0,,7.0,,32.2,,101.39,,,,Mostly Cloudy
2016-05-03 06:00,2016,5,3,06:00,‡,15.9,,11.3,,74.0,,11.0,,7.0,,48.3,,101.47,,,,Rain
2016-05-03 07:00,2016,5,3,07:00,‡,16.2,,12.2,,77.0,,26.0,,13.0,,48.3,,101.56,,,,Cloudy
